hospid,hospitalname,st
1,"Community Memorial Hospital","WI"
2,"HIMA-San Pablo Hospital-Humacao","PR"
3,"Columbia Saint Mary's Women's Hospital","WI"
4,"Baptist Health Extended Care Hospital","AR"
5,"Methodist Childrens Hospital of South Texas","TX"
6,"Medical University of South Carolina - Children's Hospital","SC"
7,"E.J. Noble Hospital","NY"
8,"Shelby Memorial Hospital","IL"
9,"Novato Community Hospital","CA"
10,"Fulton County Hospital","AR"
11,"Hardin Memorial Hospital","OH"
12,"Stephens County Hospital","GA"
13,"Viera Hospital","FL"
14,"Integra Specialty Hospital","IN"
15,"Kindred Hospital - Boston North Shore","MA"
16,"Veterans Home and Hospital, Connecticut Department of Veterans Affairs","CT"
17,"Rehabilitation Hospital of Indiana","IN"
18,"Hampstead Hospital","NH"
19,"Hillsboro Area Hospital","IL"
20,"Medina Memorial Hospital","NY"
21,"Manatee Glens Hospital","FL"
22,"Frick Hospital","PA"
23,"Harrington Memorial Hospital","MA"
24,"Advanced Surgical Hospital","PA"
25,"Saint Joseph Mercy Saline Hospital","MI"
26,"Ellis Hospital","NY"
27,"Select Specialty Hospital - Houston Medical Center","TX"
28,"Avera Saint Luke's Hospital","SD"
29,"River Crest Hospital","TX"
30,"Mary Bridge Children's Hospital and Health Center","WA"
31,"Saint John's Pleasant Valley Hospital","CA"
32,"CHRISTUS Dubuis Hospital of Saint Louis","MO"
33,"Missouri Baptist Sullivan Hospital","MO"
34,"Jasper General Hospital","MS"
35,"The Finley Hospital","IA"
36,"Humboldt General Hospital","NV"
37,"McDowell ARH Hospital","KY"
38,"USMD Hospital at Arlington","TX"
39,"Allegiance Specialty Hospital of Greenville","MS"
40,"Hospital Episcopal San Lucas","PR"
41,"Saint Vincent Frankfort Hospital","IN"
42,"Crosbyton Clinic Hospital","TX"
43,"United Hospital","MN"
44,"Kindred Hospital - Oklahoma City","OK"
45,"Memorial Hospital of Rhode Island","RI"
46,"Alliance Community Hospital","OH"
47,"Ogallala Community Hospital","NE"
48,"Saint Francis Hospital","OK"
49,"Southwest Healthcare Services Hospital","ND"
50,"Shriners Hospitals for Children - Northern California","CA"
51,"Noland Hospital Dothan","AL"
52,"Saint Vincent Carmel Hospital","IN"
53,"Via Christi Hospital in Pittsburg","KS"
54,"Lynn County Hospital","TX"
